id,postal_cd,country_cd,city_name,state_abbrv,latitude,longitude
1,00501,US,Holtsville,NY,40.8154000000,-73.0456000000
2,00544,US,Holtsville,NY,40.8154000000,-73.0456000000
3,00601,US,Adjuntas,PR,18.1967470000,-66.7367350000
4,00602,US,Aguada,PR,18.3529270000,-67.1775320000
5,00603,US,Aguadilla,PR,18.4585850000,-67.1298670000
6,00604,US,Aguadilla,PR,18.4887730000,-67.1477410000
7,00605,US,Aguadilla,PR,18.4289000000,-67.1538000000
8,00606,US,Maricao,PR,18.1667340000,-66.9392330000
10,00611,US,Angeles,PR,18.2856000000,-66.9698000000
11,00612,US,Arecibo,PR,18.3880090000,-66.6652790000
12,00613,US,Arecibo,PR,18.4744000000,-66.7163000000
13,00614,US,Arecibo,PR,18.4744000000,-66.7163000000
14,00616,US,Bajadero,PR,18.4054840000,-66.6712330000
15,00617,US,Barceloneta,PR,18.4297920000,-66.5581090000
16,00622,US,Boqueron,PR,17.9928760000,-67.1536990000
18,00624,US,Penuelas,PR,18.0727970000,-66.7248250000
19,00627,US,Camuy,PR,18.4251950000,-66.8677560000
20,00631,US,Castaner,PR,18.2245540000,-66.8677560000
21,00636,US,Rosario,PR,18.1647000000,-67.0797000000
22,00637,US,Sabana Grande,PR,18.0775920000,-66.9392320000
23,00638,US,Ciales,PR,18.2996620000,-66.4985790000
24,00641,US,Utuado,PR,18.2797210000,-66.6890960000
25,00646,US,Dorado,PR,18.4590980000,-66.2724180000
26,00647,US,Ensenada,PR,17.9725200000,-66.9451890000
27,00650,US,Florida,PR,18.3630090000,-66.5581090000
28,00652,US,Garrochales,PR,18.4519090000,-66.5997840000
29,00653,US,Guanica,PR,17.9825160000,-66.8915810000
30,00656,US,Guayanilla,PR,18.0373240000,-66.7962870000
31,00659,US,Hatillo,PR,18.4160250000,-66.7962870000
32,00660,US,Hormigueros,PR,18.1382450000,-67.1119930000
33,00662,US,Isabela,PR,18.4561300000,-67.0226300000
34,00664,US,Jayuya,PR,18.2103090000,-66.5819230000
35,00667,US,Lajas,PR,18.0100340000,-67.0226300000
36,00669,US,Lares,PR,18.2914180000,-66.8677560000
37,00670,US,Las Marias,PR,18.2396330000,-66.9868870000
38,00674,US,Manati,PR,18.4331680000,-66.4985790000
39,00676,US,Moca,PR,18.3855590000,-67.0822040000
40,00677,US,Rincon,PR,18.3317390000,-67.2311580000
41,00678,US,Quebradillas,PR,18.4312930000,-66.9154060000
42,00680,US,Mayaguez,PR,18.2100090000,-67.1060350000
43,00681,US,Mayaguez,PR,18.1211000000,-67.0824000000
44,00682,US,Mayaguez,PR,18.2208120000,-67.1477410000
45,00683,US,San German,PR,18.0991940000,-67.0226300000
46,00685,US,San Sebastian,PR,18.3161880000,-66.9749730000
47,00687,US,Morovis,PR,18.3221940000,-66.4152460000
48,00688,US,Sabana Hoyos,PR,18.3499910000,-66.6295530000
49,00690,US,San Antonio,PR,18.5018900000,-67.0970990000
50,00692,US,Vega Alta,PR,18.4018000000,-66.3438280000
51,00693,US,Vega Baja,PR,18.4207210000,-66.4033420000
52,00694,US,Vega Baja,PR,18.4465000000,-66.3884000000
53,00698,US,Yauco,PR,18.0908750000,-66.8677560000
54,00703,US,Aguas Buenas,PR,18.2625660000,-66.1296290000
55,00704,US,Aguirre,PR,17.9801990000,-66.2188680000
56,00705,US,Aibonito,PR,18.1354030000,-66.2605180000
57,00707,US,Maunabo,PR,18.0126750000,-65.9155220000
58,00714,US,Arroyo,PR,17.9870520000,-66.0582490000
59,00715,US,Mercedita,PR,18.0071130000,-66.5581090000
60,00716,US,Ponce,PR,17.9876550000,-66.6236000000
61,00717,US,Ponce,PR,18.0004170000,-66.6146690000
62,00718,US,Naguabo,PR,18.2500500000,-65.7847270000
63,00719,US,Naranjito,PR,18.2781970000,-66.2486170000
64,00720,US,Orocovis,PR,18.2045400000,-66.4509580000
65,00721,US,Palmer,PR,18.3018000000,-66.0800000000
66,00723,US,Patillas,PR,18.0251580000,-66.0106680000
67,00725,US,Caguas,PR,18.2056460000,-66.0344580000
68,00726,US,Caguas,PR,18.2364000000,-66.0489000000
69,00727,US,Caguas,PR,18.2167100000,-66.0552750000
70,00728,US,Ponce,PR,18.0192330000,-66.6533700000
71,00729,US,Canovanas,PR,18.3419240000,-65.8917380000
72,00730,US,Ponce,PR,18.0321290000,-66.6236000000
