id,postal_cd,country_cd,city_name,state_abbrv,latitude,longitude
10949,27006,US,Advance,NC,35.9445620000,-80.4376310000
10950,27007,US,Ararat,NC,36.3768840000,-80.5962650000
10951,27009,US,Belews Creek,NC,36.2239300000,-80.0800180000
10952,27010,US,Bethania,NC,36.1822000000,-80.3384000000
10953,27011,US,Boonville,NC,36.2091840000,-80.6937720000
10954,27012,US,Clemmons,NC,36.0040180000,-80.3714450000
10955,27013,US,Cleveland,NC,35.7634680000,-80.7037300000
10956,27014,US,Cooleemee,NC,35.8119670000,-80.5542580000
10957,27016,US,Danbury,NC,36.4445880000,-80.2165700000
10958,27017,US,Dobson,NC,36.3752940000,-80.8045340000
10959,27018,US,East Bend,NC,36.1944730000,-80.5301260000
10960,27019,US,Germanton,NC,36.2912180000,-80.2380760000
10961,27020,US,Hamptonville,NC,36.1059500000,-80.8197860000
10962,27021,US,King,NC,36.3266830000,-80.3380480000
10963,27022,US,Lawsonville,NC,36.5033320000,-80.2113680000
10964,27023,US,Lewisville,NC,36.0921640000,-80.4406100000
10965,27024,US,Lowgap,NC,36.5166570000,-80.8239700000
10966,27025,US,Madison,NC,36.3721960000,-79.9670950000
10967,27027,US,Mayodan,NC,36.4487350000,-79.9799650000
10968,27028,US,Mocksville,NC,35.8969950000,-80.5795140000
10969,27030,US,Mount Airy,NC,36.4584630000,-80.6207230000
10970,27031,US,White Plains,NC,36.4995000000,-80.6078000000
10971,27040,US,Pfafftown,NC,36.1606880000,-80.3785550000
10972,27041,US,Pilot Mountain,NC,36.4131180000,-80.4728300000
10973,27042,US,Pine Hall,NC,36.3427770000,-80.0551180000
10974,27043,US,Pinnacle,NC,36.3392840000,-80.4451100000
10975,27045,US,Rural Hall,NC,36.2417780000,-80.2952500000
10976,27046,US,Sandy Ridge,NC,36.4801370000,-80.0961850000
10977,27047,US,Siloam,NC,36.3151800000,-80.5814930000
10978,27048,US,Stoneville,NC,36.4634620000,-79.9078540000
10979,27049,US,Toast,NC,36.5004000000,-80.6268000000
10980,27050,US,Tobaccoville,NC,36.2401260000,-80.3950200000
10981,27051,US,Walkertown,NC,36.1818240000,-80.1633940000
10982,27052,US,Walnut Cove,NC,36.3227710000,-80.1779760000
10983,27053,US,Westfield,NC,36.4607140000,-80.3667140000
10984,27054,US,Woodleaf,NC,35.7828580000,-80.6093610000
10985,27055,US,Yadkinville,NC,36.1232830000,-80.6370720000
10986,27094,US,Rural Hall,NC,36.2404000000,-80.2936000000
10987,27098,US,Rural Hall,NC,36.2404000000,-80.2936000000
10988,27099,US,Rural Hall,NC,36.2404000000,-80.2936000000
10989,27101,US,Winston Salem,NC,36.1180170000,-80.2003700000
10990,27102,US,Winston Salem,NC,36.0983000000,-80.2466000000
10991,27103,US,Winston Salem,NC,36.0536010000,-80.3177290000
10992,27104,US,Winston Salem,NC,36.0977290000,-80.3234930000
10993,27105,US,Winston Salem,NC,36.1652710000,-80.2409280000
10994,27106,US,Winston Salem,NC,36.1480110000,-80.3242050000
10995,27107,US,Winston Salem,NC,35.9937810000,-80.1746430000
10996,27108,US,Winston Salem,NC,36.0866000000,-80.2488000000
10997,27109,US,Winston Salem,NC,36.1332620000,-80.2771730000
10998,27110,US,Winston Salem,NC,36.0894420000,-80.2243650000
10999,27111,US,Winston Salem,NC,36.0986000000,-80.2468000000
11000,27113,US,Winston Salem,NC,36.0983000000,-80.2466000000
11001,27114,US,Winston Salem,NC,36.1004000000,-80.2485000000
