id,postal_cd,country_cd,city_name,state_abbrv,latitude,longitude
12564,30002,US,Avondale Estates,GA,33.7710360000,-84.2593120000
12565,30003,US,Norcross,GA,33.9378000000,-84.2013000000
12566,30004,US,Alpharetta,GA,34.1285810000,-84.2948540000
12567,30005,US,Alpharetta,GA,34.0905440000,-84.2182820000
12568,30006,US,Marietta,GA,33.9527000000,-84.5502000000
12569,30007,US,Marietta,GA,33.9527000000,-84.5502000000
12570,30008,US,Marietta,GA,33.9008500000,-84.5870910000
12571,30009,US,Alpharetta,GA,34.0244000000,-84.2524000000
12572,30010,US,Norcross,GA,33.9378000000,-84.2013000000
12573,30011,US,Auburn,GA,34.0196900000,-83.8347490000
12574,30012,US,Conyers,GA,33.7196830000,-84.0071680000
12575,30013,US,Conyers,GA,33.6403500000,-83.9676420000
12576,30014,US,Covington,GA,33.5631260000,-83.8430420000
12577,30015,US,Covington,GA,33.5515000000,-83.8961000000
12578,30016,US,Covington,GA,33.5132840000,-83.9501740000
12579,30017,US,Grayson,GA,33.8865360000,-83.9600860000
12580,30018,US,Jersey,GA,33.7135000000,-83.7877000000
12581,30019,US,Dacula,GA,33.9786890000,-83.8762080000
12582,30021,US,Clarkston,GA,33.8078730000,-84.2390820000
12583,30022,US,Alpharetta,GA,34.0205380000,-84.2487460000
12584,30023,US,Alpharetta,GA,34.0758000000,-84.2956000000
12585,30024,US,Suwanee,GA,34.0648990000,-84.0932880000
12586,30025,US,Social Circle,GA,33.6541550000,-83.6918220000
12587,30026,US,North Metro,GA,33.9908000000,-84.1533000000
12588,30028,US,Cumming,GA,34.2867600000,-84.1727770000
12589,30029,US,North Metro,GA,33.9908000000,-84.1533000000
12590,30030,US,Decatur,GA,33.7709000000,-84.2923750000
12591,30031,US,Decatur,GA,33.7749000000,-84.2965000000
12592,30032,US,Decatur,GA,33.7495440000,-84.2736740000
12593,30033,US,Decatur,GA,33.8163890000,-84.2863990000
12594,30034,US,Decatur,GA,33.6873010000,-84.2503040000
12595,30035,US,Decatur,GA,33.7331760000,-84.2031620000
12596,30036,US,Decatur,GA,33.7749000000,-84.2965000000
12597,30037,US,Decatur,GA,33.7749000000,-84.2965000000
12598,30038,US,Lithonia,GA,33.6592820000,-84.1428810000
12599,30039,US,Snellville,GA,33.7964950000,-84.0331200000
12600,30040,US,Cumming,GA,34.2109990000,-84.1792910000
12601,30041,US,Cumming,GA,34.2024840000,-84.1096120000
12602,30042,US,Lawrenceville,GA,33.9563000000,-83.9881000000
12603,30043,US,Lawrenceville,GA,34.0046520000,-84.0130000000
12604,30044,US,Lawrenceville,GA,33.9215760000,-84.0672540000
12605,30045,US,Lawrenceville,GA,33.9348000000,-83.9535890000
12606,30046,US,Lawrenceville,GA,33.9562000000,-83.9884000000
12607,30047,US,Lilburn,GA,33.8641460000,-84.1140880000
12608,30048,US,Lilburn,GA,33.8903000000,-84.1432000000
12609,30049,US,Lawrenceville,GA,33.9563000000,-83.9881000000
12610,30052,US,Loganville,GA,33.8093920000,-83.8893490000
12611,30054,US,Oxford,GA,33.6794800000,-83.8739890000
12612,30055,US,Mansfield,GA,33.5031050000,-83.7379780000
12613,30056,US,Newborn,GA,33.4841020000,-83.6450770000
12614,30058,US,Lithonia,GA,33.7412200000,-84.0975550000
12615,30060,US,Marietta,GA,33.9270880000,-84.5411280000
12616,30061,US,Marietta,GA,33.9525000000,-84.5500000000
12617,30062,US,Marietta,GA,34.0059120000,-84.4707800000
12618,30063,US,Marietta,GA,33.9525000000,-84.5500000000
12619,30064,US,Marietta,GA,33.9275550000,-84.6201660000
12620,30065,US,Marietta,GA,33.9525000000,-84.5500000000
12621,30066,US,Marietta,GA,34.0243560000,-84.5004340000
12622,30067,US,Marietta,GA,33.9331840000,-84.4629040000
12623,30068,US,Marietta,GA,33.9721740000,-84.4411080000
12624,30069,US,Marietta,GA,33.9144780000,-84.5191000000
12625,30070,US,Porterdale,GA,33.5746070000,-83.8975950000
12626,30071,US,Norcross,GA,33.9451110000,-84.2121200000
12627,30072,US,Pine Lake,GA,33.7906960000,-84.2050620000
12628,30074,US,Redan,GA,33.7460000000,-84.1369000000
12629,30075,US,Roswell,GA,34.0561360000,-84.3794650000
12630,30076,US,Roswell,GA,34.0248870000,-84.3119080000
12631,30077,US,Roswell,GA,34.0231000000,-84.3614000000
12632,30078,US,Snellville,GA,33.8607660000,-84.0077090000
12633,30079,US,Scottdale,GA,33.7947000000,-84.2586400000
12634,30080,US,Smyrna,GA,33.8650400000,-84.4982380000
12635,30081,US,Smyrna,GA,33.8837000000,-84.5144000000
12636,30082,US,Smyrna,GA,33.8563460000,-84.5294860000
12637,30083,US,Stone Mountain,GA,33.7848590000,-84.1986400000
12638,30084,US,Tucker,GA,33.8560220000,-84.2136820000
12639,30085,US,Tucker,GA,33.8547000000,-84.2172000000
12640,30086,US,Stone Mountain,GA,33.8547000000,-84.2172000000
12641,30087,US,Stone Mountain,GA,33.8157800000,-84.1325680000
12642,30088,US,Stone Mountain,GA,33.7568820000,-84.1750400000
12643,30090,US,Marietta,GA,33.9525000000,-84.5500000000
12644,30091,US,Norcross,GA,33.9412000000,-84.2137000000
12645,30092,US,Norcross,GA,33.9681490000,-84.2267880000
12646,30093,US,Norcross,GA,33.9059460000,-84.1807330000
12647,30094,US,Conyers,GA,33.6146840000,-84.0610820000
12648,30095,US,Duluth,GA,33.9906000000,-84.1531000000
12649,30096,US,Duluth,GA,33.9824420000,-84.1510790000
12650,30097,US,Duluth,GA,34.0286460000,-84.1468260000
12651,30098,US,Duluth,GA,33.9906000000,-84.1531000000
12652,30099,US,Duluth,GA,33.9906000000,-84.1531000000
12653,30101,US,Acworth,GA,34.0321490000,-84.7025870000
12654,30102,US,Acworth,GA,34.1087120000,-84.6379230000
