id,postal_cd,country_cd,city_name,state_abbrv,latitude,longitude
12029,29001,US,Alcolu,SC,33.7738870000,-80.1324330000
12030,29002,US,Ballentine,SC,34.1245000000,-81.2375000000
12031,29003,US,Bamberg,SC,33.2578930000,-80.9577220000
12032,29006,US,Batesburg,SC,33.8896130000,-81.5634560000
12033,29009,US,Bethune,SC,34.4455980000,-80.3845440000
12034,29010,US,Bishopville,SC,34.2087460000,-80.2771490000
12035,29014,US,Blackstock,SC,34.5388920000,-81.1189850000
12036,29015,US,Blair,SC,34.4428370000,-81.3267520000
12037,29016,US,Blythewood,SC,34.1972220000,-80.9956010000
12038,29018,US,Bowman,SC,33.3406340000,-80.6271620000
12039,29020,US,Camden,SC,34.3164660000,-80.5872120000
12040,29021,US,Camden,SC,,
12041,29030,US,Cameron,SC,33.5726480000,-80.6361670000
12042,29031,US,Carlisle,SC,34.6165480000,-81.4340860000
12043,29032,US,Cassatt,SC,34.3551380000,-80.4688030000
12044,29033,US,Cayce,SC,33.9596500000,-81.0600750000
12045,29036,US,Chapin,SC,34.1376960000,-81.3427890000
12046,29037,US,Chappells,SC,34.2246320000,-81.8799160000
12047,29038,US,Cope,SC,33.3612260000,-80.9788870000
12048,29039,US,Cordova,SC,33.4087700000,-80.9167640000
12049,29040,US,Dalzell,SC,34.0469200000,-80.4571180000
12050,29041,US,Davis Station,SC,33.6028000000,-80.2644000000
12051,29042,US,Denmark,SC,33.3191750000,-81.1462500000
12052,29044,US,Eastover,SC,33.9215040000,-80.7186100000
12053,29045,US,Elgin,SC,34.1914380000,-80.8130860000
12054,29046,US,Elliott,SC,34.1021040000,-80.1550020000
12055,29047,US,Elloree,SC,33.5265150000,-80.5750520000
12056,29048,US,Eutawville,SC,33.3754540000,-80.3132590000
12057,29051,US,Gable,SC,33.8455390000,-80.1367920000
12058,29052,US,Gadsden,SC,33.8443080000,-80.7391680000
12059,29053,US,Gaston,SC,33.8199400000,-81.1030850000
12060,29054,US,Gilbert,SC,33.9331850000,-81.3771030000
12061,29055,US,Great Falls,SC,34.5372760000,-80.9342520000
12062,29056,US,Greeleyville,SC,33.6118470000,-79.9985140000
12063,29058,US,Heath Springs,SC,34.5437730000,-80.7343090000
12064,29059,US,Holly Hill,SC,33.3229110000,-80.4318750000
12065,29061,US,Hopkins,SC,33.8814940000,-80.8474880000
12066,29062,US,Horatio,SC,34.0193380000,-80.5721980000
12067,29063,US,Irmo,SC,34.1425750000,-81.2159520000
12068,29065,US,Jenkinsville,SC,34.2682660000,-81.2699820000
12069,29067,US,Kershaw,SC,34.5635860000,-80.5331680000
12070,29069,US,Lamar,SC,34.1930580000,-80.0759560000
12071,29070,US,Leesville,SC,33.8903340000,-81.4308000000
12072,29071,US,Lexington,SC,33.9816000000,-81.2365000000
